hardboil,softboil,colorshell,covered,stove,tastiness,shelloff
10.34644082442875,5.475352486608348,brown,uncovered,gas,1,2
10.43394905321281,6.948374440147852,brown,uncovered,electric,3,2
15.448846549344124,6.589273869745898,brown,uncovered,gas,1,2
11.14797853394658,5.5789786735347064,brown,uncovered,gas,5,4
9.10028149690616,6.276155756858717,brown,uncovered,electric,5,3
9.122103712303797,7.95214720519817,white,covered,gas,2,5
9.208835635875158,7.774264035348756,white,uncovered,electric,3,2
8.57486987745287,6.0644900854070585,white,covered,gas,2,2
9.980558811361062,6.475335589886947,white,uncovered,electric,4,3
10.961955114988777,7.037353538464475,brown,uncovered,gas,5,3
12.781775455732765,7.758772257841144,brown,covered,gas,3,1
10.74847187410692,7.788745641146366,brown,uncovered,electric,5,2
12.905926854827774,7.069052055236472,white,uncovered,gas,5,2
10.578952252305726,7.173510951621993,brown,covered,gas,2,3
12.785439292360476,7.037367414968243,brown,uncovered,electric,4,3
10.502527581751918,8.133641637175854,white,uncovered,gas,4,3
10.541243701824019,6.647850391940433,white,uncovered,gas,3,1
9.894242362882036,5.276696375374495,brown,uncovered,electric,1,2
12.151681421113608,5.201478766230922,brown,covered,electric,4,2
8.428960929198588,6.113157105165108,white,covered,electric,2,4
10.154834651145203,7.8664215705304255,brown,covered,electric,2,2
11.106808487832462,8.545825723442249,white,uncovered,gas,5,3
13.06816778601402,5.911912574893657,brown,covered,electric,3,1
13.680209853094912,7.24189439923227,brown,covered,electric,2,1
11.422580810296763,7.826683067976207,white,uncovered,electric,5,4
10.831500015618857,5.7762692418256,brown,covered,gas,4,4
9.68444229590665,5.449720632314989,brown,uncovered,electric,1,2
12.790544512997688,7.204262471534909,brown,uncovered,gas,1,4
11.71782548905663,6.323489740254815,white,covered,gas,1,3
11.092430393170341,7.277743372950902,white,uncovered,gas,4,2
12.645815617131035,6.505732702072322,brown,uncovered,electric,4,3
9.514672870032506,6.47110525205145,white,covered,gas,3,2
10.66269124879914,6.332038715812682,brown,covered,electric,5,1
10.136453279823606,6.799264164574634,white,uncovered,electric,3,5
11.693348193331172,6.2416595303159035,brown,uncovered,electric,5,2
11.411488767086015,7.281251110158115,brown,covered,gas,1,2
10.404705287695997,5.463689838574728,white,covered,electric,3,4
9.222917983776135,6.181773250398593,white,uncovered,electric,1,1
10.38855432835482,7.9599083099289665,brown,covered,electric,4,5
10.537115276719346,6.978465101157212,brown,uncovered,gas,5,4
10.134988003409703,7.314422077266206,brown,uncovered,electric,4,1
10.94485508436794,6.195118460708017,brown,covered,gas,2,3
11.37730795082777,6.983757504652988,white,covered,gas,4,2
9.614268024641174,8.238360611912807,white,uncovered,gas,3,1
10.1305431051881,7.385974371150839,brown,covered,gas,1,2
11.07218772649564,6.336871974991176,white,covered,gas,1,2
10.837416780275884,5.690286101081806,brown,covered,electric,5,3
